conv_layers,filters,kernel_size,dropout_rate,dense_units,pool_size,accuracy,precision,recall,f1
1,128,5,0.3,32,2,0.7337962962962963,0.7878787878787878,0.6190476190476191,0.6933333333333334
1,128,5,0.3,32,3,0.7268518518518519,0.7987012987012987,0.5857142857142857,0.6758241758241759
1,128,5,0.3,64,2,0.6527777777777778,0.654639175257732,0.6047619047619047,0.6287128712871287
1,128,5,0.3,64,3,0.6898148148148148,0.6844660194174758,0.6714285714285714,0.6778846153846154
1,128,5,0.3,128,2,0.7268518518518519,0.7839506172839507,0.6047619047619047,0.6827956989247311
1,128,5,0.3,128,3,0.7060185185185185,0.7371428571428571,0.6142857142857143,0.6701298701298701
1,128,7,0.1,32,2,0.6689814814814815,0.6700507614213198,0.6285714285714286,0.6486486486486487
1,128,7,0.1,32,3,0.7037037037037037,0.7204301075268817,0.638095238095238,0.6767676767676768
1,128,7,0.1,64,2,0.7106481481481481,0.7297297297297297,0.6428571428571429,0.6835443037974683
1,128,7,0.1,64,3,0.7592592592592593,0.7523809523809524,0.7523809523809524,0.7523809523809524
1,128,7,0.1,128,2,0.6944444444444444,0.7166666666666667,0.6142857142857143,0.6615384615384615
1,128,7,0.1,128,3,0.6712962962962963,0.75,0.4857142857142857,0.5895953757225434
1,128,7,0.2,32,2,0.6620370370370371,0.6839080459770115,0.5666666666666667,0.6197916666666666
1,128,7,0.2,32,3,0.6921296296296297,0.7483870967741936,0.5523809523809524,0.6356164383561644
1,128,7,0.2,64,2,0.6921296296296297,0.7421383647798742,0.5619047619047619,0.6395663956639567
1,128,7,0.2,64,3,0.6990740740740741,0.7150537634408602,0.6333333333333333,0.6717171717171717
1,128,7,0.2,128,2,0.6435185185185185,0.6196581196581197,0.6904761904761905,0.6531531531531531
1,128,7,0.2,128,3,0.7013888888888888,0.7120418848167539,0.6476190476190476,0.6783042394014963
1,128,7,0.3,32,2,0.7361111111111112,0.7526315789473684,0.680952380952381,0.715
1,128,7,0.3,32,3,0.6805555555555556,0.7222222222222222,0.5571428571428572,0.6290322580645161
1,128,7,0.3,64,2,0.7129629629629629,0.7087378640776699,0.6952380952380952,0.7019230769230769
1,128,7,0.3,64,3,0.7013888888888888,0.7396449704142012,0.5952380952380952,0.6596306068601583
1,128,7,0.3,128,2,0.6990740740740741,0.8773584905660378,0.44285714285714284,0.5886075949367089
1,128,7,0.3,128,3,0.7314814814814815,0.7640449438202247,0.6476190476190476,0.7010309278350515
2,32,3,0.1,32,2,0.6504629629629629,0.6266094420600858,0.6952380952380952,0.6591422121896162
2,32,3,0.1,32,3,0.7638888888888888,0.7842105263157895,0.7095238095238096,0.745
2,32,3,0.1,64,2,0.7013888888888888,0.7213114754098361,0.6285714285714286,0.6717557251908397
2,32,3,0.1,64,3,0.6875,0.6984126984126984,0.6285714285714286,0.6616541353383458
