N_MFCC,duration,step,augment,batch_size,accuracy,precision,recall,f1
13,4.0,1.5,"{'noise': (0.005, 0.02), 'pitch': (-3, 3), 'stretch': (0.85, 1.15)}",8,0.5833333333333334,0.5294117647058824,0.9339622641509434,0.6757679180887372
13,4.0,1.5,"{'noise': (0.005, 0.02), 'pitch': (-3, 3), 'stretch': (0.85, 1.15)}",16,0.7675438596491229,0.7226890756302521,0.8113207547169812,0.7644444444444445
13,4.0,1.5,"{'noise': (0.005, 0.02), 'pitch': (-3, 3), 'stretch': (0.85, 1.15)}",32,0.631578947368421,0.5714285714285714,0.8301886792452831,0.676923076923077
13,4.0,1.5,None,8,0.7587719298245614,0.7217391304347827,0.7830188679245284,0.751131221719457
13,4.0,1.5,None,16,0.8245614035087719,0.7578125,0.9150943396226415,0.8290598290598291
13,4.0,1.5,None,32,0.8114035087719298,0.7404580152671756,0.9150943396226415,0.8185654008438819
13,4.0,2.0,"{'noise': (0.001, 0.01), 'pitch': (-1, 1), 'stretch': (0.95, 1.05)}",8,0.7102272727272727,0.686046511627907,0.7108433734939759,0.6982248520710059
13,4.0,2.0,"{'noise': (0.001, 0.01), 'pitch': (-1, 1), 'stretch': (0.95, 1.05)}",16,0.4715909090909091,0.4715909090909091,1.0,0.640926640926641
13,4.0,2.0,"{'noise': (0.001, 0.01), 'pitch': (-1, 1), 'stretch': (0.95, 1.05)}",32,0.7045454545454546,0.6703296703296703,0.7349397590361446,0.7011494252873564
13,4.0,2.0,"{'noise': (0.001, 0.015), 'pitch': (-2, 2), 'stretch': (0.9, 1.1)}",8,0.7443181818181818,0.7317073170731707,0.7228915662650602,0.7272727272727273
13,4.0,2.0,"{'noise': (0.001, 0.015), 'pitch': (-2, 2), 'stretch': (0.9, 1.1)}",16,0.7897727272727273,0.73,0.8795180722891566,0.7978142076502732
13,4.0,2.0,"{'noise': (0.001, 0.015), 'pitch': (-2, 2), 'stretch': (0.9, 1.1)}",32,0.7556818181818182,0.7127659574468085,0.8072289156626506,0.7570621468926554
13,4.0,2.0,"{'noise': (0.005, 0.02), 'pitch': (-3, 3), 'stretch': (0.85, 1.15)}",8,0.7443181818181818,0.7261904761904762,0.7349397590361446,0.7305389221556886
13,4.0,2.0,"{'noise': (0.005, 0.02), 'pitch': (-3, 3), 'stretch': (0.85, 1.15)}",16,0.48295454545454547,0.47701149425287354,1.0,0.6459143968871596
13,4.0,2.0,"{'noise': (0.005, 0.02), 'pitch': (-3, 3), 'stretch': (0.85, 1.15)}",32,0.7613636363636364,0.711340206185567,0.8313253012048193,0.7666666666666667
13,4.0,2.0,None,8,0.7613636363636364,0.6915887850467289,0.891566265060241,0.7789473684210526
13,4.0,2.0,None,16,0.5397727272727273,0.5063291139240507,0.963855421686747,0.6639004149377593
13,4.0,2.0,None,32,0.48295454545454547,0.4764705882352941,0.9759036144578314,0.6403162055335968
20,2.0,1.0,"{'noise': (0.001, 0.01), 'pitch': (-1, 1), 'stretch': (0.95, 1.05)}",8,0.7493403693931399,0.6912442396313364,0.8426966292134831,0.759493670886076
20,2.0,1.0,"{'noise': (0.001, 0.01), 'pitch': (-1, 1), 'stretch': (0.95, 1.05)}",16,0.7783641160949868,0.7098214285714286,0.8932584269662921,0.7910447761194029
20,2.0,1.0,"{'noise': (0.001, 0.01), 'pitch': (-1, 1), 'stretch': (0.95, 1.05)}",32,0.7783641160949868,0.7025862068965517,0.9157303370786517,0.7951219512195122
20,2.0,1.0,"{'noise': (0.001, 0.015), 'pitch': (-2, 2), 'stretch': (0.9, 1.1)}",8,0.783641160949868,0.7181818181818181,0.8876404494382022,0.7939698492462312
20,2.0,1.0,"{'noise': (0.001, 0.015), 'pitch': (-2, 2), 'stretch': (0.9, 1.1)}",16,0.7519788918205804,0.71875,0.7752808988764045,0.745945945945946
20,2.0,1.0,"{'noise': (0.001, 0.015), 'pitch': (-2, 2), 'stretch': (0.9, 1.1)}",32,0.7810026385224275,0.7188940092165899,0.8764044943820225,0.789873417721519
20,2.0,1.0,"{'noise': (0.005, 0.02), 'pitch': (-3, 3), 'stretch': (0.85, 1.15)}",8,0.7730870712401056,0.7254901960784313,0.8314606741573034,0.774869109947644
20,2.0,1.0,"{'noise': (0.005, 0.02), 'pitch': (-3, 3), 'stretch': (0.85, 1.15)}",16,0.7889182058047494,0.7311320754716981,0.8707865168539326,0.7948717948717948
20,2.0,1.0,"{'noise': (0.005, 0.02), 'pitch': (-3, 3), 'stretch': (0.85, 1.15)}",32,0.762532981530343,0.7075471698113207,0.8426966292134831,0.7692307692307693
20,2.0,1.0,None,8,0.8390501319261213,0.7910447761194029,0.8932584269662921,0.8390501319261213
20,2.0,1.0,None,16,0.7783641160949868,0.706140350877193,0.9044943820224719,0.7931034482758621
20,2.0,1.0,None,32,0.8839050131926122,0.8418367346938775,0.9269662921348315,0.8823529411764706
20,2.0,1.5,"{'noise': (0.001, 0.01), 'pitch': (-1, 1), 'stretch': (0.95, 1.05)}",8,0.6988416988416989,0.6466666666666666,0.7950819672131147,0.7132352941176471
20,2.0,1.5,"{'noise': (0.001, 0.01), 'pitch': (-1, 1), 'stretch': (0.95, 1.05)}",16,0.7992277992277992,0.7430555555555556,0.8770491803278688,0.8045112781954887
20,2.0,1.5,"{'noise': (0.001, 0.01), 'pitch': (-1, 1), 'stretch': (0.95, 1.05)}",32,0.7760617760617761,0.7461538461538462,0.7950819672131147,0.7698412698412699
