duration=2.0, step=1.5,  MELS=64, FFT=2048, HOP=512, aug={'noise': (0.001, 0.015), 'pitch': (-2, 2), 'stretch': (0.9, 1.1)}, batch=8 --> acc=0.743, prec=0.668, rec=0.930, f1=0.778
duration=2.0, step=1.5,  MELS=64, FFT=2048, HOP=512, aug={'noise': (0.001, 0.015), 'pitch': (-2, 2), 'stretch': (0.9, 1.1)}, batch=16 --> acc=0.483, prec=0.483, rec=1.000, f1=0.651
duration=2.0, step=1.5,  MELS=64, FFT=2048, HOP=512, aug={'noise': (0.001, 0.015), 'pitch': (-2, 2), 'stretch': (0.9, 1.1)}, batch=32 --> acc=0.476, prec=0.480, rec=0.986, f1=0.645
duration=2.0, step=1.5,  MELS=64, FFT=2048, HOP=512, aug={'noise': (0.005, 0.02), 'pitch': (-3, 3), 'stretch': (0.85, 1.15)}, batch=8 --> acc=0.709, prec=0.657, rec=0.832, f1=0.735
duration=2.0, step=1.5,  MELS=64, FFT=2048, HOP=512, aug={'noise': (0.005, 0.02), 'pitch': (-3, 3), 'stretch': (0.85, 1.15)}, batch=16 --> acc=0.649, prec=0.593, rec=0.867, f1=0.705
duration=2.0, step=1.5,  MELS=64, FFT=2048, HOP=512, aug={'noise': (0.005, 0.02), 'pitch': (-3, 3), 'stretch': (0.85, 1.15)}, batch=32 --> acc=0.483, prec=0.483, rec=1.000, f1=0.651
duration=2.0, step=1.5,  MELS=64, FFT=2048, HOP=512, aug=None, batch=8 --> acc=0.696, prec=0.739, rec=0.573, f1=0.646
duration=2.0, step=1.5,  MELS=64, FFT=2048, HOP=512, aug=None, batch=16 --> acc=0.483, prec=0.483, rec=1.000, f1=0.651
duration=2.0, step=1.5,  MELS=64, FFT=2048, HOP=512, aug=None, batch=32 --> acc=0.520, prec=0.502, rec=0.916, f1=0.649
duration=2.0, step=1.5,  MELS=128, FFT=2048, HOP=512, aug={'noise': (0.001, 0.01), 'pitch': (-1, 1), 'stretch': (0.95, 1.05)}, batch=8 --> acc=0.682, prec=0.637, rec=0.797, f1=0.708
duration=2.0, step=1.5,  MELS=128, FFT=2048, HOP=512, aug={'noise': (0.001, 0.01), 'pitch': (-1, 1), 'stretch': (0.95, 1.05)}, batch=16 --> acc=0.740, prec=0.723, rec=0.748, f1=0.735
duration=2.0, step=1.5,  MELS=128, FFT=2048, HOP=512, aug={'noise': (0.001, 0.01), 'pitch': (-1, 1), 'stretch': (0.95, 1.05)}, batch=32 --> acc=0.551, prec=0.541, rec=0.462, f1=0.498
duration=2.0, step=1.5,  MELS=128, FFT=2048, HOP=512, aug={'noise': (0.001, 0.015), 'pitch': (-2, 2), 'stretch': (0.9, 1.1)}, batch=8 --> acc=0.777, prec=0.742, rec=0.825, f1=0.781
duration=2.0, step=1.5,  MELS=128, FFT=2048, HOP=512, aug={'noise': (0.001, 0.015), 'pitch': (-2, 2), 'stretch': (0.9, 1.1)}, batch=16 --> acc=0.713, prec=0.710, rec=0.685, f1=0.698
