conv_layers,filters,kernel_size,dropout_rate,dense_units,pool_size,accuracy,precision,recall,f1
1,32,5,0.2,64,2,0.854679802955665,0.888235294117647,0.7905759162303665,0.8365650969529086
1,32,5,0.2,64,3,0.8694581280788177,0.8833333333333333,0.8324607329842932,0.8571428571428571
1,32,5,0.2,128,2,0.8694581280788177,0.875,0.8429319371727748,0.8586666666666667
1,32,5,0.2,128,3,0.8768472906403941,0.8895027624309392,0.8429319371727748,0.8655913978494624
1,32,5,0.3,32,2,0.8571428571428571,0.8633879781420765,0.8272251308900523,0.8449197860962567
1,32,5,0.3,32,3,0.874384236453202,0.8932584269662921,0.8324607329842932,0.8617886178861789
1,32,5,0.3,64,2,0.8891625615763546,0.8686868686868687,0.900523560209424,0.884318766066838
1,32,5,0.3,64,3,0.8866995073891626,0.8606965174129353,0.9057591623036649,0.8826530612244898
1,32,5,0.3,128,2,0.8620689655172413,0.8325123152709359,0.8848167539267016,0.8578680203045685
1,32,5,0.3,128,3,0.8669950738916257,0.8624338624338624,0.8534031413612565,0.8578947368421053
1,32,7,0.1,32,2,0.8522167487684729,0.8465608465608465,0.837696335078534,0.8421052631578947
1,32,7,0.1,32,3,0.8669950738916257,0.8624338624338624,0.8534031413612565,0.8578947368421053
1,32,7,0.1,64,2,0.8522167487684729,0.8465608465608465,0.837696335078534,0.8421052631578947
1,32,7,0.1,64,3,0.8669950738916257,0.8341463414634146,0.8952879581151832,0.8636363636363636
1,32,7,0.1,128,2,0.8448275862068966,0.8368421052631579,0.8324607329842932,0.8346456692913385
1,32,7,0.1,128,3,0.874384236453202,0.8723404255319149,0.8586387434554974,0.8654353562005277
1,32,7,0.2,32,2,0.854679802955665,0.8333333333333334,0.8638743455497382,0.8483290488431876
1,32,7,0.2,32,3,0.8768472906403941,0.873015873015873,0.8638743455497382,0.868421052631579
1,32,7,0.2,64,2,0.8719211822660099,0.8601036269430051,0.8691099476439791,0.8645833333333334
1,32,7,0.2,64,3,0.8620689655172413,0.8461538461538461,0.8638743455497382,0.8549222797927462
1,32,7,0.2,128,2,0.8891625615763546,0.865,0.9057591623036649,0.8849104859335039
1,32,7,0.2,128,3,0.8596059113300493,0.8489583333333334,0.8534031413612565,0.8511749347258486
1,32,7,0.3,32,2,0.8522167487684729,0.8742857142857143,0.8010471204188482,0.8360655737704918
1,32,7,0.3,32,3,0.8842364532019704,0.8529411764705882,0.9109947643979057,0.8810126582278481
1,32,7,0.3,64,2,0.8669950738916257,0.8586387434554974,0.8586387434554974,0.8586387434554974
1,32,7,0.3,64,3,0.8645320197044335,0.84,0.8795811518324608,0.8593350383631714
1,32,7,0.3,128,2,0.8866995073891626,0.8756476683937824,0.8848167539267016,0.8802083333333334
1,32,7,0.3,128,3,0.8817733990147784,0.8522167487684729,0.9057591623036649,0.8781725888324873
1,64,3,0.1,32,2,0.8300492610837439,0.8210526315789474,0.8167539267015707,0.8188976377952756
1,64,3,0.1,32,3,0.8448275862068966,0.8333333333333334,0.837696335078534,0.835509138381201
1,64,3,0.1,64,2,0.8596059113300493,0.845360824742268,0.8586387434554974,0.8519480519480519
1,64,3,0.1,64,3,0.8694581280788177,0.8670212765957447,0.8534031413612565,0.8601583113456465
1,64,3,0.1,128,2,0.8620689655172413,0.8426395939086294,0.8691099476439791,0.8556701030927835
1,64,3,0.1,128,3,0.8669950738916257,0.8586387434554974,0.8586387434554974,0.8586387434554974
1,64,3,0.2,32,2,0.8472906403940886,0.8341968911917098,0.8429319371727748,0.8385416666666666
1,64,3,0.2,32,3,0.854679802955665,0.8333333333333334,0.8638743455497382,0.8483290488431876
1,64,3,0.2,64,2,0.874384236453202,0.8804347826086957,0.8481675392670157,0.864
1,64,3,0.2,64,3,0.8669950738916257,0.8624338624338624,0.8534031413612565,0.8578947368421053
