conv=3, filters=64, kernel=7, dropout=0.1, dense=128, pool=2 --> acc=0.892, prec=0.925, rec=0.837, f1=0.879
conv=3, filters=64, kernel=7, dropout=0.1, dense=128, pool=3 --> acc=0.884, prec=0.935, rec=0.809, f1=0.867
conv=3, filters=64, kernel=7, dropout=0.2, dense=32, pool=2 --> acc=0.913, prec=0.924, rec=0.888, f1=0.905
conv=3, filters=64, kernel=7, dropout=0.2, dense=32, pool=3 --> acc=0.908, prec=0.904, rec=0.899, f1=0.901
conv=3, filters=64, kernel=7, dropout=0.2, dense=64, pool=2 --> acc=0.894, prec=0.911, rec=0.860, f1=0.884
conv=3, filters=64, kernel=7, dropout=0.2, dense=64, pool=3 --> acc=0.892, prec=0.841, rec=0.949, f1=0.892
conv=3, filters=64, kernel=7, dropout=0.2, dense=128, pool=2 --> acc=0.900, prec=0.889, rec=0.899, f1=0.894
conv=3, filters=64, kernel=7, dropout=0.2, dense=128, pool=3 --> acc=0.884, prec=0.835, rec=0.938, f1=0.884
conv=3, filters=64, kernel=7, dropout=0.3, dense=32, pool=2 --> acc=0.910, prec=0.968, rec=0.837, f1=0.898
conv=3, filters=64, kernel=7, dropout=0.3, dense=32, pool=3 --> acc=0.902, prec=0.938, rec=0.848, f1=0.891
conv=3, filters=64, kernel=7, dropout=0.3, dense=64, pool=2 --> acc=0.913, prec=0.905, rec=0.910, f1=0.908
conv=3, filters=64, kernel=7, dropout=0.3, dense=64, pool=3 --> acc=0.902, prec=0.862, rec=0.944, f1=0.901
conv=3, filters=64, kernel=7, dropout=0.3, dense=128, pool=2 --> acc=0.926, prec=0.963, rec=0.876, f1=0.918
conv=3, filters=64, kernel=7, dropout=0.3, dense=128, pool=3 --> acc=0.900, prec=0.868, rec=0.927, f1=0.897
conv=3, filters=128, kernel=3, dropout=0.1, dense=32, pool=2 --> acc=0.923, prec=0.907, rec=0.933, f1=0.920
conv=3, filters=128, kernel=3, dropout=0.1, dense=32, pool=3 --> acc=0.868, prec=0.844, rec=0.882, f1=0.863
conv=3, filters=128, kernel=3, dropout=0.1, dense=64, pool=2 --> acc=0.900, prec=0.938, rec=0.843, f1=0.888
conv=3, filters=128, kernel=3, dropout=0.1, dense=64, pool=3 --> acc=0.908, prec=0.904, rec=0.899, f1=0.901
conv=3, filters=128, kernel=3, dropout=0.1, dense=128, pool=2 --> acc=0.921, prec=0.920, rec=0.910, f1=0.915
conv=3, filters=128, kernel=3, dropout=0.1, dense=128, pool=3 --> acc=0.900, prec=0.889, rec=0.899, f1=0.894
conv=3, filters=128, kernel=3, dropout=0.2, dense=32, pool=2 --> acc=0.913, prec=0.914, rec=0.899, f1=0.907
conv=3, filters=128, kernel=3, dropout=0.2, dense=32, pool=3 --> acc=0.868, prec=0.860, rec=0.860, f1=0.860
conv=3, filters=128, kernel=3, dropout=0.2, dense=64, pool=2 --> acc=0.892, prec=0.831, rec=0.966, f1=0.894
conv=3, filters=128, kernel=3, dropout=0.2, dense=64, pool=3 --> acc=0.892, prec=0.874, rec=0.899, f1=0.886
conv=3, filters=128, kernel=3, dropout=0.2, dense=128, pool=2 --> acc=0.858, prec=0.782, rec=0.966, f1=0.864
conv=3, filters=128, kernel=3, dropout=0.2, dense=128, pool=3 --> acc=0.865, prec=0.899, rec=0.803, f1=0.849
conv=3, filters=128, kernel=3, dropout=0.3, dense=32, pool=2 --> acc=0.923, prec=0.952, rec=0.882, f1=0.915
