conv=1, filters=64, kernel=7, dropout=0.1, dense=128, pool=2 --> acc=0.831, prec=0.797, rec=0.860, f1=0.827
conv=1, filters=64, kernel=7, dropout=0.1, dense=128, pool=3 --> acc=0.842, prec=0.851, rec=0.803, f1=0.827
conv=1, filters=64, kernel=7, dropout=0.2, dense=32, pool=2 --> acc=0.839, prec=0.855, rec=0.792, f1=0.822
conv=1, filters=64, kernel=7, dropout=0.2, dense=32, pool=3 --> acc=0.834, prec=0.857, rec=0.775, f1=0.814
conv=1, filters=64, kernel=7, dropout=0.2, dense=64, pool=2 --> acc=0.858, prec=0.869, rec=0.820, f1=0.844
conv=1, filters=64, kernel=7, dropout=0.2, dense=64, pool=3 --> acc=0.826, prec=0.854, rec=0.758, f1=0.804
conv=1, filters=64, kernel=7, dropout=0.2, dense=128, pool=2 --> acc=0.826, prec=0.826, rec=0.798, f1=0.811
conv=1, filters=64, kernel=7, dropout=0.2, dense=128, pool=3 --> acc=0.852, prec=0.891, rec=0.781, f1=0.832
conv=1, filters=64, kernel=7, dropout=0.3, dense=32, pool=2 --> acc=0.807, prec=0.852, rec=0.713, f1=0.777
conv=1, filters=64, kernel=7, dropout=0.3, dense=32, pool=3 --> acc=0.821, prec=0.812, rec=0.803, f1=0.808
conv=1, filters=64, kernel=7, dropout=0.3, dense=64, pool=2 --> acc=0.873, prec=0.892, rec=0.831, f1=0.860
conv=1, filters=64, kernel=7, dropout=0.3, dense=64, pool=3 --> acc=0.821, prec=0.893, rec=0.702, f1=0.786
conv=1, filters=64, kernel=7, dropout=0.3, dense=128, pool=2 --> acc=0.823, prec=0.828, rec=0.787, f1=0.807
conv=1, filters=64, kernel=7, dropout=0.3, dense=128, pool=3 --> acc=0.844, prec=0.848, rec=0.815, f1=0.831
conv=1, filters=128, kernel=3, dropout=0.1, dense=32, pool=2 --> acc=0.770, prec=0.751, rec=0.764, f1=0.758
conv=1, filters=128, kernel=3, dropout=0.1, dense=32, pool=3 --> acc=0.797, prec=0.830, rec=0.713, f1=0.767
conv=1, filters=128, kernel=3, dropout=0.1, dense=64, pool=2 --> acc=0.784, prec=0.789, rec=0.736, f1=0.762
conv=1, filters=128, kernel=3, dropout=0.1, dense=64, pool=3 --> acc=0.815, prec=0.818, rec=0.781, f1=0.799
conv=1, filters=128, kernel=3, dropout=0.1, dense=128, pool=2 --> acc=0.789, prec=0.795, rec=0.742, f1=0.767
conv=1, filters=128, kernel=3, dropout=0.1, dense=128, pool=3 --> acc=0.818, prec=0.826, rec=0.775, f1=0.800
conv=1, filters=128, kernel=3, dropout=0.2, dense=32, pool=2 --> acc=0.805, prec=0.806, rec=0.770, f1=0.787
conv=1, filters=128, kernel=3, dropout=0.2, dense=32, pool=3 --> acc=0.799, prec=0.771, rec=0.815, f1=0.792
conv=1, filters=128, kernel=3, dropout=0.2, dense=64, pool=2 --> acc=0.802, prec=0.808, rec=0.758, f1=0.783
conv=1, filters=128, kernel=3, dropout=0.2, dense=64, pool=3 --> acc=0.826, prec=0.850, rec=0.764, f1=0.805
